region;route;root;signage
ENG;A167;eng.a0167bla;non-primary
ENG;A168;eng.a0168;both
ENG;A169;eng.a0169;both
ENG;A170;eng.a0170;primary
ENG;A171;eng.a0171;both
ENG;A172;eng.a0172;both
ENG;A173;eng.a0173;non-primary
ENG;A174;eng.a0174;both
ENG;A176;eng.a0176;non-primary
ENG;A177;eng.a0177;non-primary
ENG;A178;eng.a0178mid;non-primary
ENG;A178;eng.a0178;non-primary
ENG;A179;eng.a0179;primary
ENG;A180;eng.a0180;both
ENG;A181;eng.a0181;non-primary
ENG;A182;eng.a0182;non-primary
ENG;A183;eng.a0183;both
ENG;A184;eng.a0184;both
ENG;A185;eng.a0185;non-primary
ENG;A186;eng.a0186;non-primary
ENG;A187;eng.a0187;non-primary
ENG;A188;eng.a0188;non-primary
ENG;A189;eng.a0189;both
ENG;A190;eng.a0190;non-primary
ENG;A191;eng.a0191;non-primary
ENG;A192;eng.a0192;non-primary
ENG;A193;eng.a0193;non-primary
ENG;A194;eng.a0194;both
ENG;A195;eng.a0195;non-primary
ENG;A196;eng.a0196;non-primary
ENG;A197;eng.a0197;non-primary
SCT;A198;sct.a0198;non-primary
SCT;A199;sct.a0199;non-primary
ENG;A200;eng.a0200;non-primary
ENG;A201;eng.a0201;non-primary
ENG;A202;eng.a0202;primary
ENG;A203;eng.a0203;primary
ENG;A204;eng.a0204;non-primary
ENG;A205;eng.a0205;primary
ENG;A206;eng.a0206;non-primary
ENG;A207;eng.a0207;non-primary
ENG;A208;eng.a0208;non-primary
ENG;A209;eng.a0209;non-primary
ENG;A210;eng.a0210;both
ENG;A211;eng.a0211;non-primary
ENG;A212;eng.a0212;non-primary
ENG;A212;eng.a0212cro;non-primary
ENG;A213;eng.a0213;non-primary
ENG;A214;eng.a0214;both
ENG;A215;eng.a0215;non-primary
ENG;A216;eng.a0216;non-primary
ENG;A217;eng.a0217;both
ENG;A218;eng.a0218;non-primary
ENG;A219;eng.a0219;non-primary
ENG;A220;eng.a0220;non-primary
ENG;A221;eng.a0221;non-primary
ENG;A222;eng.a0222;non-primary
ENG;A222;eng.a0222cro;non-primary
ENG;A223;eng.a0223;non-primary
ENG;A223;eng.a0223orp;non-primary
ENG;A224;eng.a0224;non-primary
ENG;A225;eng.a0225;non-primary
ENG;A225;eng.a0225dar;non-primary
ENG;A226;eng.a0226;non-primary
ENG;A227;eng.a0227;non-primary
ENG;A228;eng.a0228;both
ENG;A229;eng.a0229;both
ENG;A230;eng.a0230;non-primary
ENG;A231;eng.a0231;non-primary
ENG;A232;eng.a0232;both
ENG;A233;eng.a0233;non-primary
ENG;A234;eng.a0234;non-primary
ENG;A235;eng.a0235tho;non-primary
ENG;A235;eng.a0235;non-primary
ENG;A236;eng.a0236;non-primary
ENG;A237;eng.a0237;non-primary
ENG;A238;eng.a0238;non-primary
ENG;A239;eng.a0239;non-primary
ENG;A240;eng.a0240;both
ENG;A242;eng.a0242;non-primary
ENG;A243;eng.a0243;both
ENG;A244;eng.a0244;non-primary
ENG;A245;eng.a0245;non-primary
ENG;A246;eng.a0246;non-primary
ENG;A247;eng.a0247;non-primary
ENG;A248;eng.a0248;non-primary
ENG;A249;eng.a0249;primary
ENG;A250;eng.a0250;non-primary
ENG;A251;eng.a0251;both
ENG;A252;eng.a0252;non-primary
ENG;A253;eng.a0253;primary
ENG;A254;eng.a0254;non-primary
ENG;A255;eng.a0255;non-primary
ENG;A256;eng.a0256;both
ENG;A257;eng.a0257;non-primary
ENG;A258;eng.a0258;non-primary
ENG;A259;eng.a0259;both
ENG;A260;eng.a0260;non-primary
ENG;A261;eng.a0261;non-primary
ENG;A262;eng.a0262;non-primary
ENG;A264;eng.a0264;both
ENG;A265;eng.a0265;non-primary
ENG;A267;eng.a0267;non-primary
ENG;A268;eng.a0268;non-primary
ENG;A269;eng.a0269;non-primary
ENG;A270;eng.a0270;non-primary
ENG;A271;eng.a0271;non-primary
ENG;A272;eng.a0272;both
ENG;A273;eng.a0273;non-primary
ENG;A274;eng.a0274;non-primary
ENG;A275;eng.a0275;non-primary
ENG;A277;eng.a0277;non-primary
ENG;A278;eng.a0278;non-primary
ENG;A280;eng.a0280;both
ENG;A281;eng.a0281;non-primary
ENG;A282;eng.a0282;primary
ENG;A283;eng.a0283;both
ENG;A284;eng.a0284;non-primary
ENG;A285;eng.a0285;non-primary
ENG;A286;eng.a0286;non-primary
ENG;A287;eng.a0287;non-primary
ENG;A288;eng.a0288;non-primary
ENG;A289;eng.a0289;non-primary
ENG;A290;eng.a0290;non-primary
ENG;A291;eng.a0291;non-primary
ENG;A292;eng.a0292;non-primary
ENG;A293;eng.a0293;non-primary
ENG;A295;eng.a0295;non-primary
ENG;A296;eng.a0296;non-primary
ENG;A297;eng.a0297;primary
ENG;A298;eng.a0298;non-primary
ENG;A299;eng.a0299;primary
ENG;A300;eng.a0300;non-primary
ENG;A301;eng.a0301;non-primary
ENG;A302;eng.a0302;both
ENG;A303;eng.a0303;primary
ENG;A304;eng.a0304;non-primary
ENG;A305;eng.a0305;non-primary
ENG;A306;eng.a0306;both
ENG;A306;eng.a0306ham;non-primary
ENG;A307;eng.a0307;non-primary
ENG;A308;eng.a0308ful;non-primary
ENG;A308;eng.a0308;both
ENG;A309;eng.a0309;primary
ENG;A309;eng.a0309ted;non-primary
ENG;A310;eng.a0310;non-primary
ENG;A311;eng.a0311;non-primary
ENG;A312;eng.a0312;both
ENG;A313;eng.a0313;non-primary
ENG;A314;eng.a0314;non-primary
ENG;A315;eng.a0315;non-primary
ENG;A316;eng.a0316;both
ENG;A317;eng.a0317;non-primary
ENG;A318;eng.a0318;non-primary
ENG;A319;eng.a0319;non-primary
ENG;A320;eng.a0320;non-primary
ENG;A321;eng.a0321;non-primary
ENG;A322;eng.a0322;both
ENG;A323;eng.a0323;non-primary
ENG;A324;eng.a0324;non-primary
ENG;A325;eng.a0325;non-primary
ENG;A326;eng.a0326;non-primary
ENG;A326;eng.a0326hou;non-primary
ENG;A327;eng.a0327;non-primary
ENG;A328;eng.a0328;non-primary
ENG;A329;eng.a0329;both
ENG;A329;eng.a0329rea;non-primary
ENG;A330;eng.a0330;non-primary
ENG;A331;eng.a0331;both
ENG;A332;eng.a0332;non-primary
ENG;A333;eng.a0333;non-primary
ENG;A334;eng.a0334;non-primary
ENG;A335;eng.a0335;non-primary
ENG;A335;eng.a0335cha;non-primary
ENG;A336;eng.a0336;non-primary
ENG;A337;eng.a0337;non-primary
ENG;A338;eng.a0338;both
ENG;A339;eng.a0339;both
ENG;A340;eng.a0340;non-primary
ENG;A341;eng.a0341;non-primary
ENG;A342;eng.a0342;non-primary
ENG;A343;eng.a0343;non-primary
ENG;A345;eng.a0345;non-primary
ENG;A345;eng.a0345upa;non-primary
ENG;A346;eng.a0346;both
ENG;A347;eng.a0347;non-primary
ENG;A348;eng.a0348;primary
ENG;A349;eng.a0349;non-primary
ENG;A349;eng.a0349poo;non-primary
ENG;A350;eng.a0350;primary
ENG;A350;eng.a0350poo;non-primary
ENG;A351;eng.a0351;non-primary
ENG;A352;eng.a0352;non-primary
ENG;A353;eng.a0353;non-primary
ENG;A354;eng.a0354;primary
ENG;A355;eng.a0355;both
ENG;A356;eng.a0356;non-primary
ENG;A357;eng.a0357;non-primary
ENG;A358;eng.a0358;both
ENG;A359;eng.a0359;non-primary
ENG;A360;eng.a0360;non-primary
ENG;A361;eng.a0361bar;both
ENG;A361;eng.a0361;both
ENG;A361;eng.a0361she;non-primary
ENG;A361;eng.a0361ban;non-primary
ENG;A362;eng.a0362;non-primary
ENG;A363;eng.a0363;non-primary
ENG;A365;eng.a0365;non-primary
ENG;A366;eng.a0366;non-primary
ENG;A367;eng.a0367;non-primary
ENG;A368;eng.a0368;both
